Year,Title,Genre,Plot,Actors,Director,Rated,Runtime,Metascore
1973,Road Movie,Drama,Gil and Hank are two independent truckers who run into problems when they are forced to pay off traffic managers to get loads. They also have to pay off highway cops when their rigs are overweight and bank loans but consider thems...,"Robert Drivas, Regina Baff, Barry Bostwick",Joseph Strick,N/A,88 min,N/A
1973,Kamen Rider V3: The Movie,"Short, Sci-Fi","During a battle against Destron's forces, Shiro Kazami helps a priest who has been attacked by the evil organization's kaijin Hasami-Jaguar. Little does he know that the church where the priest resides is a front for a Destron hid...","Akiji Kobayashi, Hiroshi Miyauchi, Hizuru Ono",Minoru Yamada,N/A,24 min,N/A
1973,Maybe This Movie Is About You?,"Animation, Short, Musical","About a girl that takes up all businesses, but brings to a none conclusion.",Lidiya Kataeva,Valeriy Ugarov,N/A,3 min,N/A
1973,The Kikaida 3-D Movie,"Short, Adventure, Family",Kikaider fights the robot monsters of the Dark Demolition Corps in this theatrical episode shot in 3-D.,"Daisuke Ban, Hajime Izu, Jun Mizunoe",Hidetoshi Kitamura,N/A,33 min,N/A
1973,The Man with the Movie Camera,Short,N/A,N/A,David Crosswaite,N/A,9 min,N/A
1973,The Dirty Movie,Comedy,N/A,"Ron Rifkin, Tom Skerritt",Rick Edelstein,N/A,N/A,N/A
1973,Episode 244: &quot;The Exorcist&quot; (1973): Movie Review,Talk-Show,"Chris and Derek decided to go back and review several films which are celebrating anniversaries. They get things started with a look back at ""The Exorcist"" (1973) which debuted in theatres 50 years ago. The guys discuss the cast, ...","Chris McBrien, Derek Myers",N/A,N/A,N/A,N/A
1973,"Third One Year Movie, 1972",N/A,N/A,N/A,Robert Huot,N/A,75 min,N/A
1973,Home Movie,Short,N/A,N/A,Jan Oxenberg,N/A,12 min,N/A
1974,Sweet Movie,"Comedy, Drama, Mystery","After winning the ""most virgin"" contest, Miss Canada is married to a rich milk tycoon. But she quickly flees the marriage to experience the world around her, full of sweetness and anarchy.","Carole Laure, Pierre Clémenti, Anna Prucnal",Dusan Makavejev,Not Rated,98 min,N/A
1974,Kamen Rider X the Movie,"Short, Sci-Fi",A little girl named Sayoko witnesses the murder of an Interpol agent by the G.O.D. kaijin Hercules. Keisuke Jin saves her before Hercules disposes of her. Sayoko tells Keisuke that G.O.D. is targeting an important official named K...,"Ryô Hayami, Akiji Kobayashi, Naoko Miyama",Itaru Orita,N/A,24 min,N/A
1974,Flying from the Movie Screen: Inazuman,"Action, Short, Adventure",The insectoid superhero Inazuman fights against the monsters of the Newmanity Empire and the Desper Army in this theatrical episode shot in 3-D.,"Daisuke Ban, Hiroko Saito, Shôzô Îzuka",Minoru Yamada,N/A,33 min,N/A
1974,Beautiful Movie,Short,N/A,N/A,Robert Huot,N/A,3 min,N/A
1974,Movie Stuntmen,"Documentary, Short, Action",Reveals the skills and courage demanded of motion picture stuntmen and shows how they can perform such stunts as flaming car crashes and leaps from cliffs.,Bob Woodham,Brian Trenchard-Smith,N/A,28 min,N/A
1974,Dearreader: How to Turn a Book Into a Movie,N/A,N/A,"Geraldine Pontius, Laurie Anderson","Laurie Anderson, Bob George",N/A,N/A,N/A
1974,"Chicken Movie, Chicken Piece",Short,N/A,Ana Mendieta,Ana Mendieta,N/A,3 min,N/A
1975,Kamen Rider Amazon: The Movie,"Short, Sci-Fi",N/A,"Akiji Kobayashi, Yôji Matsuda, Mariko Matsuoka",N/A,N/A,24 min,N/A
1975,Kamen Rider Stronger the Movie,"Short, Sci-Fi","Waniida from Black Satan attacks a young boy and long-time Kamen Rider ally Tobei Tachibana, but Kamen Rider Stronger and Electro Wave Human Tackle run in to make the save. However, Shigeru and Yuriko fall into separate traps and ...","Shigeru Araki, Kyôko Okada, Akiji Kobayashi",Itaru Orita,N/A,24 min,N/A
1975,Goranger: The Movie,"Short, Sci-Fi",N/A,"Naoya Makoto, Hiroshi Miyauchi, Baku Hatakeyama",Katsuhiko Taguchi,N/A,20 min,N/A
1975,Akumaizer 3 the Movie,"Short, Sci-Fi",N/A,"Makio Inoue, Mahito Tsujimura, Jirô Yabuki",Atsuo Okunaka,N/A,24 min,N/A
1975,"You've Read the Book, Now See the Movie","Short, Animation",N/A,N/A,John Weldon,N/A,11 min,N/A
1975,Swing Movie,Short,N/A,N/A,Junichi Okuyama,N/A,35 min,N/A
1975,Goranger: Movie 2 - The Blue Fortress,"Short, Action, Adventure","Black Cross? new Commander Nichirin Kamen and agent Niji Kamen steal Go-Ranger's super helicopter, Vari Balloon and use it to attack Tokyo. Ao Ranger attempts to single handedly retrieve back the Vari Balloon but gets in over his ...","Mitsuo Andô, Jirô Daruma, Baku Hatakeyama","Hidetoshi Kitamura, Katsuhiko Taguchi, Kôichi Takemoto",N/A,N/A,N/A
1975,Episode 65: &quot;One Flew Over the Cuckoo's Nest&quot; (1975) Movie Review,Talk-Show,"Chris and Yancy review the 1975 film, ""One Flew Over the Cuckoo's Nest"". Yancy had never seen it so he gives a fresh, Millennial perspective on a Gen-X classic film. How does the film hold up after all this time? You'll get a Mill...","Yancy Eaton, Chris McBrien",N/A,N/A,N/A,N/A
1975,It's a Stagg Movie,Comedy,N/A,N/A,N/A,X,N/A,N/A
1976,Silent Movie,Comedy,A film director and his strange friends struggle to produce the first major silent feature film in forty years.,"Mel Brooks, Marty Feldman, Dom DeLuise",Mel Brooks,PG,87 min,75
1976,Let's Make a Dirty Movie,Comedy,"A bumbling film crew attempts to make a porno movie. Unfortunately, the cast are all egomaniacs or incompetents, and the set manager is too shy to purchase any equipment from the sex shops. Nevertheless, they make do with what the...","Claude Brasseur, Robert Castel, Nathalie Courval",Gérard Pirès,R,85 min,N/A
1976,The Redd Foxx Becomes a Movie Star,"Documentary, Short","Redd Foxx has been in various aspects of show business for several years, but is now starring for the first time in a feature length movie, the comedy Norman... Is That You? (1976), ...","Pearl Bailey, Tamara Dobson, Allan Drake, Dennis Dugan",Elliot Geisinger,N/A,8 min,N/A
1976,Movie Rush - La febbre del cinema,Comedy,A young aspiring director steals a silent movie camera to make his movie. Lots of weirdness and simulated sex ensue.,"Benjamin Lev, Loredana Bertè, Massimo Boldi",Ottavio Fabbri,N/A,98 min,N/A
1976,A Bicentennial Movie,Short,N/A,N/A,Ken Ward,N/A,7 min,N/A
1976,"Don't Worry, It's Only a Movie",N/A,N/A,N/A,Donald Blank,N/A,N/A,N/A
1976,Stolen Movie,Short,N/A,N/A,Craig Baldwin,N/A,N/A,N/A
1976,The Adventures of Sebastyn: The Movie,Comedy,N/A,N/A,Roy Qurin,N/A,77 min,N/A
1976,Starvengers: The Movie,Animation,N/A,"Laura Cummins, Sean Faherty, Bob Linda King",Mike Haller,N/A,N/A,N/A
1977,The Kentucky Fried Movie,Comedy,The daily programming of a fictional local TV channel presented as a series of highly irreverent skits.,"Evan C. Kim, Bong Soo Han, Bill Bixby",John Landis,R,83 min,61
1977,ABBA: The Movie,"Documentary, Comedy, Music",An incompetent radio DJ tries to get an interview with the Swedish pop group during their famous week-long 1977 tour of Australia.,"Anni-Frid Lyngstad, Benny Andersson, Björn Ulvaeus",Lasse Hallström,G,95 min,N/A
1977,The Genesis Concert Movie,"Documentary, Music",The rock group Genesis filmed live in concert.,"Tony Banks, Bill Bruford, Phil Collins",Tony Maylam,N/A,45 min,N/A
1977,J.A.K.Q. Dengekitai the Movie,"Short, Action",N/A,"Yoshitaka Tanba, Tairayama Ito, Mitchi Love",Minoru Yamada,N/A,N/A,N/A
1977,Movie Stills,N/A,N/A,N/A,J.J. Murphy,N/A,45 min,N/A
1977,Movie Show,Short,N/A,N/A,Tony Conrad,N/A,6 min,N/A
1977,Episode 144: &quot;Smokey and the Bandit&quot; (1977): Movie Review,Talk-Show,"Chris has Derek go back and watch the 1977 box office hit starring Burt Reynolds, Sally Field and Jackie Gleason. The guys discuss how some aspects of the film haven't stood up over time (as well as those that did!). Chris then ta...","Chris McBrien, Derek Myers",N/A,N/A,N/A,N/A
1977,Combattler V Movie,"Animation, Short, Adventure",N/A,Kazuya Tatekabe,Tadao Nagahama,N/A,20 min,N/A
1977,A Movie and Breakfast,Drama,"Tsipi and Rafi meet and quickly marry. To make it difficult on the newly weds, their mother-in-law houses them in an open room, with no privacy. In addition, Rafi works long nights, so that a physical disconnect is created between...","Zeev Berlinsky, Miriam Gavrieli, Shraga Harpaz",Alfred Steinhardt,N/A,100 min,N/A
1977,The Minecraft Movie,N/A,N/A,N/A,Ernie Gehr,N/A,113 min,N/A
1978,Movie Movie,"Comedy, Musical, Sport","Three movie genres of the 1930s--boxing films, World War I aviation dramas, and backstage Broadway musicals--are satirized using the same cast.","George C. Scott, Trish Van Devere, Red Buttons",Stanley Donen,PG,105 min,N/A
1978,Blue Movie,"Horror, Thriller","A woman escapes from being raped only to find herself trapped by a sado-masochistic photographer who, among other nasty things, gets off on consuming fresh human excrement.","Danielle Dugas, Claude Maran, Joseph Dickson",Alberto Cavallone,TV-PG,81 min,N/A
1978,The Punk Rock Movie from England,"Documentary, Music","Documentary on the London punk-rock scene, circa '78.","Soo Catwoman, Steve Strange, Robin Banks",Don Letts,R,86 min,N/A
1978,Gatchaman The Movie,"Animation, Action, Adventure",A movie version of several Gatchaman episodes.,"Katsuji Mori, Isao Sasaki, Kazuko Sugiyama",Hisayuki Toriumi,TV-PG,110 min,N/A
1978,Father Movie,Short,N/A,N/A,Gordon Ball,N/A,7 min,N/A
1978,Episode 61: &quot;Animal House&quot; (1978) Movie Review,Talk-Show,"This week, Yancy and Chris review the 1978 comedy classic, ""Animal House"". Chris grew up with this movie. How does this raunchy sex comedy hold up after all of these years? Yancy points out just how un-PC this movie is in today's ...","Yancy Eaton, Chris McBrien",N/A,N/A,N/A,N/A
1978,Halloween (1978)/The Royal Tenenbaums (2001) - 34 Movie Buff Specialists (Ep 67),N/A,N/A,N/A,N/A,N/A,N/A,N/A
1978,Still Movie,Short,N/A,N/A,Yôichi Nagata,N/A,3 min,N/A
1978,D.G. Movie Pioneer,Documentary,N/A,N/A,Kalpana Lajmi,N/A,N/A,N/A
1978,How to Score... a Movie,"Documentary, Short",Composer Patrick Gowers and conductor Marcus Dods scoring the feature STEVIE(1978),"Marcus Dods, Patrick Gowers, Trevor Howard",Robert Enders,N/A,29 min,N/A
1979,The Muppet Movie,"Adventure, Comedy, Family","Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit.","Jim Henson, Frank Oz, Jerry Nelson",James Frawley,G,95 min,74
1979,The Bugs Bunny/Road-Runner Movie,"Animation, Comedy, Family",Bugs Bunny reflects on his past cartoon exploits.,"Mel Blanc, Arthur Q. Bryan, Paul Julian","Chuck Jones, Phil Monroe, Maurice Noble",G,98 min,N/A
1979,The Space Movie,Documentary,A musical journey through our solar system to the far reaches of the universe.,"Buzz Aldrin, Neil Armstrong, Mike Collins",Tony Palmer,G,78 min,N/A
1979,Almost a Movie,Crime,"A young man meets up with his new stepmother at a villa, but his father never appears. Suspicious of his step-mother, he then proceeds to keep her a prisoner in the villa as he forces her to reveal details of her hidden past.","Tim Morris, Carol Aston, Tracy Fleming",Michael J. Murphy,N/A,48 min,N/A
1979,Track Stars.: The Unseen Heroes of Movie Sound,"Documentary, Short",Two Foley artists provide live sound effects to an action scene.,"Peter Muir, Paul Amato",Terry Burke,N/A,8 min,N/A
1979,Ida Makes a Movie,"Family, Short",A young girl faces a moral quandary when her film wins a prize because the judges misinterpreted its intended theme.,"Zoe Newman, Dawn Harrison, Allan Meiusi, Elwy Yost","Kit Hood, Linda Schuyler",N/A,23 min,N/A
1979,Shimoochiai Yakitori Movie,Comedy,N/A,"George Tokoro, Tamori, Fujio Akatsuka",Shinya Yamamoto,N/A,86 min,N/A
1979,The Image Maker and the Indians: E. S. Curtis and His 1914 Kwakiutl Movie,"Documentary, Short",N/A,"Bill Holm, George Irving Quimby",N/A,N/A,16 min,N/A
1979,William Shakespeare: The Movie,Short,N/A,Bruce Campbell,Sam Raimi,N/A,N/A,N/A
1979,I Really Don't Think I Can Make This Movie,"Short, Drama",N/A,Cynthia Penter,Cynthia Penter,N/A,8 min,N/A
1980,Cheech and Chong's Next Movie,"Comedy, Crime","Cheech and Chong live in a decrepit old house and drive their neighbour crazy with their loud music, weed smoking and general anarchy and slacker view on life. Then Chong meets Cheech's Texan cousin Red and things kick up a notch.","Cheech Marin, Tommy Chong, Evelyn Guerrero",Tommy Chong,R,99 min,66
1980,The Gong Show Movie,Comedy,"A week in the life of ""The Gong Show"" host and creator Chuck Barris who lives through a series of outrageous competitors, stressful situations, a nervous breakdown and other comical characters involved in his life and work on the ...","Chuck Barris, Robin Altman, Brian O'Mullin",Chuck Barris,R,89 min,N/A
1980,The Making of Superman: The Movie,Documentary,"Ernie Anderson narrates this look at the making of Richard Donner's blockbuster 1978 film. Behind-the-scenes footage, as well as scenes from the film, reveal just how audiences were able to ""believe a man can fly"". This program fe...","Ernie Anderson, Christopher Reeve, Marlon Brando",Iain Johnstone,N/A,52 min,N/A
1980,Denshi Sentai Denjiman: The Movie,"Action, Sci-Fi",N/A,"Shin'ichi Yûki, Kenji Ôba, Eiichi Tsuyama",N/A,N/A,N/A,N/A
1980,From the Apennines to the Andes: The Movie,"Animation, Adventure, Drama","A young Italian boy named Marco is devastated when his mother must leave home to work in Argentina to pay off the family debt. She sends the family letters, but soon the messages stop coming, which worries Marco and sets him off o...","Kiyoshi Kawakubo, Yoshiko Matsuo, Ichirô Nagai",Isao Takahata,N/A,107 min,N/A
1980,Ann-Margret: Hollywood Movie Girls,"Comedy, Music",A salute to the femmes fatale of Hollywood's past.,"Ann-Margret, George Burns, Dom DeLuise",Dwight Hemion,N/A,90 min,N/A
1980,The American Movie Awards,N/A,N/A,"Susan Anton, Angie Dickinson, Clint Eastwood, Peter Falk",N/A,N/A,N/A,N/A
1980,Making Xanadu: The Musical Fantasy Movie,"Documentary, Fantasy, Musical",N/A,"Olivia Newton-John, Gene Kelly, Michael Beck",Alan Metter,N/A,23 min,N/A
1980,The Funniest Movie,N/A,N/A,"Kenny Bee, Emily Y. Chang, Sylvia Chang",Chun-Liang Chen,N/A,91 min,N/A
1980,Class Project: The Garbage Movie,Short,N/A,N/A,Martin Defalco,N/A,23 min,N/A
1981,"The Looney, Looney, Looney Bugs Bunny Movie","Animation, Comedy, Crime",Bugs Bunny hosts an award show featuring several classic Looney Toon shorts.,"Mel Blanc, Stan Freberg, June Foray",Friz Freleng,G,79 min,N/A
1981,Great Movie Stunts: Raiders of the Lost Ark,"Documentary, Action",N/A,"Harrison Ford, Karen Allen, Steven Spielberg",Robert Guenette,N/A,48 min,N/A
1981,Kamen Rider Super-1: The Movie,"Action, Adventure, Drama","The Dogma Kingdom attacks the Matagi (mountain tribe) village of Yamabiko to steal the sacred Flying Dragon Fortress and wreak havoc all over Japan. Six children from the fallen village take refuge in a nearby town, keeping their ...","Hiroshi Miyauchi, Shunsuke Takasugi, Nobuo Tsukamoto",N/A,N/A,46 min,N/A
1981,Elvira's Movie Macabre: Count Dracula's Great Love,N/A,"Five stranded travelers are forced to take refuge in the legendary Castle Dracula. Unfortunately, the infamous Count Dracula (Paul Naschy) is alive and well and more than eager to take in his new guests. But when one of the travel...",N/A,N/A,Unrated,98 min,N/A
1981,Elvira's Movie Macabre: The Devil's Wedding Night,N/A,"A quest for the mythical Ring of Vermougglian leads the Schiller brothers to Transylvania and Castle Dracula, where they find more than they bargained for in the castle's current resident and her undead servant. What follows is a ...",N/A,N/A,Not Rated,99 min,N/A
1981,Making a Monster Movie: Inside 'the Howling',"Documentary, Short",N/A,"Joe Dante, Rob Bottin, Patrick Macnee",Mick Garris,N/A,8 min,N/A
1981,Superbman: The Other Movie,"Short, Comedy","Planet Krapton will soon explode. Hoping to save his infant son from doom, Jel-lo rockets him to Earth. There the child, now named Clark aka Superbman, is adopted by Ma and Pa Cant. Clark grows-up and becomes a reporter for the Da...","Mark Rydzynski, Patricia Matthews, Dan Sanchez",Dave Teubner,N/A,30 min,N/A
1981,The Juggling Movie,Short,"The Pickle Family Jugglers share the essentials of juggling, including: Three Elements That Separate Juggling From Playing Catch, Throwing To The Imaginary Spot, and Keeping It Away From The Monkey In The Middle. An old-school optica","Cecil MacKinnon, Larry Pisoni, Peggy Pisoni",Patrick Melly,G,10 min,N/A
1981,You Can't Hurry Love: Son of Stiff Tour Movie,"Documentary, Music",N/A,"Joe King Carrasco &amp; The Crowns, Dirty Looks",Jeff Baynes,N/A,N/A,N/A
1981,The Movie at the End of the World: Thomas McGrath,"Documentary, Biography","""The Movie at the End of the World"" is a compilation documentary about the life and work of the late North Dakota poet, Thomas McGrath.

Also known as Dream Champ, Tommie the Commie, Crazy Horse, Peasant Poet, Longshot O'Leary and...","Frederick Manfred, Tom McGrath, Tom McGrath","Paul Burtness, Mike Hazard",N/A,57 min,N/A
1982,The Pirate Movie,"Adventure, Comedy, Musical",A 1980s take-off of The Pirates of Penzance which centers on a noble pirate who leaves his profession and falls in love with a fiery young maiden.,"Kristy McNichol, Christopher Atkins, Ted Hamilton","Ken Annakin, Richard Franklin",PG,98 min,19
1982,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,"Animation, Adventure, Comedy","Rival book salesmen Bugs Bunny and Daffy Duck are forced by Sultan Yosemite Sam to read fairy tales to his spoiled, selfish son, Prince Abba-Dabba.","Mel Blanc, Arthur Q. Bryan, Shepard Menken","Friz Freleng, Chuck Jones, Robert McKimson",G,74 min,N/A
1982,Movie Madness,Comedy,"An anthology parody of film genres composed of three shorts, spoofing personal growth films, glossy soap operas, and police stories.","Peter Riegert, Diane Lane, Candy Clark","Bob Giraldi, Henry Jaglom",R,89 min,N/A
1982,Ebba the Movie,"Documentary, Music",The band 'Ebba Grön' is on tour. They were the most successful punkband in Sweden at the time and tried to have a sort of hardline attitude. In one sequence they play one of there songs in a little country church. The song is call...,"Dag Vag, Lennart Eriksson, Bo Gustaffson",Johan Donner,N/A,78 min,N/A
1982,The Slog Movie,"Documentary, Music",A raw and unparalleled DIY documentary about the West Coast Punk scene made by a group of young fans/filmmakers about the bands they loved.,"Dez Cadena, Chuck Dukowski, Greg Hetson",David Markey,Unrated,59 min,N/A
1982,E.T. and Friends: Magical Movie Visitors,Documentary,"Documentary hosted by Robin Williams about the history of aliens in the movies, made to coincide with the cinema release of E.T. the Extra-Terrestrial.","Robin Williams, Dan Aykroyd, Garrett Morris","Malcolm Leo, Andrew Solt",N/A,46 min,N/A
1982,Electric Blue the Movie,Comedy,"A compilation of clips taken from the 'Electric Blue' series of video tapes, featuring varying sexual content.","Marilyn Chambers, Desiree Cousteau, Randy Feelgood",Adam Cole,N/A,96 min,N/A
1982,Six God Combination God Mars: The Movie,"Animation, Action, Sci-Fi","The movie is just a recap of the first 25 episodes of the TV series. A.D. 1982, the planet alignment brought the human beings ordeal we should overcome, and it caused a convulsion on the Earth. During the conflict, a light fell on...","Takeshi Aono, Kinryû Arimoto, Michiko Hirai",Tetsuo Imazawa,N/A,95 min,N/A
1982,Snow: The Movie,Comedy,"Two likable larrikins check into Sundance Inn, Falls Creek, for the weekend of their lives. Aided by a disreputable ski come sex instructor, they relentlessly pursue girls, but all in vain.","David Argue, Lance Curtis, Peter Moon",Robert Gibson,N/A,85 min,N/A
1982,Dai Sentai Goggle V: The Movie,"Short, Action",Goggle V must prevent Deathdark from using their new laser weapon to destroy Tokyo.,"Ryouji Akagi, Jun'ichi Haruta, Shigeki Ishii",Shohei Tôjô,N/A,27 min,N/A
1983,Twilight Zone: The Movie,"Horror, Sci-Fi","Four horror and science fiction segments, directed by four famous directors, each of them being a new version of a classic story from Rod Serling's landmark television series.","Dan Aykroyd, Albert Brooks, Vic Morrow","Joe Dante, John Landis, George Miller",PG,101 min,44
1983,Hot Dog... The Movie,"Comedy, Romance, Sport",Harkin Banks heads to skiing championships in California. A teen runaway tags along as he parties and competes with friends and foes.,"David Naughton, Patrick Houser, Tracy Smith",Peter Markle,R,96 min,39
1983,Daffy Duck's Movie: Fantastic Island,"Family, Animation, Comedy","On a desert island, Daffy Duck and Speedy Gonzales find a magic well that grants any wish and they get much more than they bargained for.","Mel Blanc, June Foray, Les Tremayne","Friz Freleng, Chuck Jones, Robert McKimson",G,78 min,N/A
1983,Burroughs: The Movie,"Documentary, Biography","Burroughs: The Movie explores the life and times of controversial Naked Lunch author William S. Burroughs, with an intimacy never before seen and never repeated. The film charts the development of Burroughs' unique literary style ...","William S. Burroughs, Allen Ginsberg, Herbert Huncke",Howard Brookner,Not Rated,90 min,N/A
1983,Crusher Joe: The Movie,"Action, Animation, Sci-Fi","Amid a supposedly simple escort mission, Joe and his crew experience a failure during their warp travel. They wake up just to find out that the passengers are missing. To make things worse, the United Space Force accuses them of c...","Hiraku Takemura, Run Sasaki, Noriko Ohara","Yoshikazu Yasuhiko, Jim Terry",N/A,132 min,N/A
1983,Kagaku Sentai Dynaman the Movie,Short,N/A,"Satoshi Okita, Jun'ichi Haruta, Kouji Unogi",Shohei Tôjô,N/A,26 min,N/A
1983,Movie Blockbusters: The 15 Greatest Hits of All Time,Documentary,N/A,Christopher Plummer,Walter C. Miller,N/A,N/A,N/A
1983,Movie Star Commercials and Important Messages,"Documentary, Animation, Comedy, History",N/A,"Ann-Margret, Jack Benny, Humphrey Bogart, Richard Burton",N/A,N/A,73 min,N/A
1983,Twilight Zone: The Movie (1983) (Live),Comedy,N/A,"Frank Linkz, Richard Pires, Phoenix West",Phoenix West,N/A,N/A,N/A
1983,Episode 141: &quot;Strange Brew&quot; (1983): Movie Review,Talk-Show,"Chris nominated the 1983 movie ""Strange Brew"". In addition to reviewing the movie itself, the guys talk about the old SCTV show, Canadian stereotypes, and Toronto in the 1980's. During the trivia segment, Derek quizzes Chris on fa...","Chris McBrien, Derek Myers",N/A,N/A,N/A,N/A
1984,Holly - The Movie,"Comedy, Drama, Romance","Otto, a young man from East-Frisia, comes to the big city of Hamburg to make his fortune. Most of all he is engaged with two problems: How can he impress Silvia, a wealthy young girl; and where does he get 9,876.50 DM to pay off a...","Otto Waalkes, Elisabeth Wiedemann, Sky du Mont","Xaver Schwarzenberger, Otto Waalkes",N/A,85 min,N/A
1984,"Kerouac, the Movie","Documentary, Biography, Drama",Jack Kerouac was a Beat Generation writer who took the nation by storm upon the publication of his novel On the Road. Kerouac's legacy and influence are explained via interviews with Kerouac's friends and contemporaries such as Wi...,"Peter Coyote, Jack Coulter, Cindy Alwan",John Antonelli,Not Rated,78 min,N/A
1984,Supergirl: The Making of the Movie,Documentary,"A documentary filmed during production of the film ""Supergirl"" showing the world how and who made it. This interesting featurette includes interviews with the cast and crew along with footage from the film and excerpts from the mu...","Faye Dunaway, Peter O'Toole, Ted Maynard",Peter Hollywood,Unrated,60 min,N/A
1984,The Slim Dusty Movie,"Documentary, Biography, Drama","The film dramatises the early life and career of Australian country music singer/songwriter Slim Dusty, interspersed with footage of a 1980s round Australia tour by the Slim Dusty family and featuring several songs from Dusty's lo...","Slim Dusty, Joy McKean, Anne Kirkpatrick",Rob Stewart,N/A,107 min,N/A
1984,"Lovingly Yours, Helen (The Movie)","Comedy, Drama, Horror",THIS DRAMATIC ANTHOLOGY OF TRUE-TO-LIFE STORIES OF LOVE AND DOMESTIC PROBLEMS BASED ON LETTERS SENT BY TV - DRAMA PROGRAM HOSTED BY HELEN VELA WHO GIVES ADVICE TO TROUBLED VIEWERS.,"Helen Vela, Coney Reyes, Anita Linda",Argel Joseph,N/A,N/A,N/A
1984,Pirata! Cult Movie,Sci-Fi,"In a hypothetical future not too far away people are completely dazed and spend their days passively watching TV. The state is controlled by a dictator, the Supreme Dreamer, who governs through the brutal force of the police, whos...","Paolo Ricagno, Gloria Ferraro, Nadia Ferraro",Paolo Ricagno,N/A,95 min,N/A
1984,Space Cop Shaider: The Movie,N/A,N/A,"Hiroshi Tsuburaya, Naomi Morinaga, Jun Yoshida",N/A,N/A,N/A,N/A
1984,Chodenshi Baioman the Movie,"Adventure, Fantasy, Sci-Fi",The five Bioman heroes are back in their own movie.,"Yûko Asuka, Michiko Makino, Hirohisa Nakata, Akito Osuga",Nagafumi Hori,N/A,N/A,N/A
1984,Dislocated Third Eye Series - Next Movie - High Noon,Short,N/A,N/A,Franciska Knoblehar,N/A,N/A,N/A
1984,Episode 172: &quot;Beverly Hills Cop&quot; (1984): Movie Review,Talk-Show,"Derek and Chris go back and review the 1984 Eddie Murphy film, ""Beverly Hills Cop"". Is it a comedy? Is it a drama? Is it a fish-out-of-water story? The guys talk about the movie's box office performance, the cast, the script, the ...","Chris McBrien, Derek Myers",N/A,N/A,N/A,N/A
1985,The Care Bears Movie,"Animation, Adventure, Comedy",The Care Bears team up with a troubled brother and sister who just moved to a new town to help a neglected young magician's apprentice whose evil spell book causes sinister things to happen.,"Georgia Engel, Mickey Rooney, Jackie Burroughs","Arna Selznick, Jay Miller, Dick Schneider",G,77 min,46
1985,Grunt! The Wrestling Movie,"Comedy, Crime, Mystery","A documentary crew sets out to unravel one of professional wrestling's most closely guarded secrets: is former champion ""Mad Dog"" Joe DeCurso now wrestling as The Mask?","Magic Schwarz, Steve Strong, Marilyn Dodds Frank",Allan Holzman,R,90 min,N/A
1985,Captain Tsubasa Movie 02 - Attention! The Japanese Junior Selection,"Animation, Family, Sport",Tsubasa and his team face off in a return match against the All Europe Soccer Team.,"Kôichi Hashimoto, Akari Hibino, Hirotaka Suzuoki",Hiroyoshi Mitsunobu,N/A,60 min,N/A
1985,Worm Movie,Short,N/A,Lung Leg,Lung Leg,Unrated,2 min,N/A
1985,Santa Claus: The Making of the Movie,"Documentary, Family","This behind-the-scenes documentary follows Team Salkind as they set out to bring Santa's ""true"" story to the screen. Dudley Moore (Patch) hosts; David Huddleston intros in character as Santa.","John Barrard, Judy Cornwell, Roy Field","Danny Huston, Iain Johnstone",N/A,50 min,N/A
1985,Don't Scream: It's Only a Movie!,"Documentary, Horror","Documentary tracing the history of horror films from the silent period to the splatter films of the 1980s. Hosted by genre stalwart Vincent Price, segments include 'naked fear and terror torture'. includes clips from many Dick Ran...","Vincent Price, Boris Karloff, Christopher Lee",Ray Selfe,N/A,85 min,N/A
1985,Cool Runnings: The Reggae Movie,"Documentary, Music","Reggae legends jam to the Jamaican beat in this classic film of the 1983 Reggae Sunsplash. Held in Montego Bay, the festival showcases the finest in reggae, dub and ska.","Rita Marley, Gregory Isaacs, Gil Scott-Heron",Robert Mugge,Not Rated,105 min,N/A
1985,Katotohanan o guniguni? The Movie Part II,"Drama, Fantasy, Horror, Thriller",N/A,"Marianne de la Riva, Ronald Corveau, Bella Flores, Rocco Montalban",Jose Miranda Cruz,N/A,N/A,N/A
1985,Dengeki Sentai Changeman: The Movie,"Short, Action",N/A,"Haruki Hamada, Shirô Izumi, Hiroko Nishimoto",Nagafumi Hori,N/A,25 min,N/A
1985,Das ABC des Films: E wie Express in die Holle (1985) & Exile Family Movie (2006),N/A,N/A,N/A,N/A,N/A,N/A,N/A
1986,The Transformers: The Movie,"Animation, Action, Adventure","The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.","Orson Welles, Robert Stack, Leonard Nimoy",Nelson Shin,PG,84 min,43
1986,My Little Pony: The Movie,"Animation, Adventure, Family","Ponyland comes under attack from the Smooze, a massive purple ooze created by an evil witch who plans to destroy the ponies' annual spring festival.","Danny DeVito, Madeline Kahn, Cloris Leachman","Mike Joens, Gerry Chiniquy, Ray Lee",G,86 min,23
1986,Care Bears Movie II: A New Generation,"Animation, Adventure, Comedy","The Care Bears try to help a young girl at summer camp who, in an effort to revamp her dorky social status to agility and skill, enters into a sinister bargain with a shape-shifting demon posing as a young boy.","Maxine Miller, Pam Hyatt, Hadley Kay",Dale Schott,G,76 min,N/A
